order_id,order_date,store_id,product_id,product_category,quantity_sold,unit_price
16,2023-04-11,,1023,Clothng,5.0,-50.0
26,14-11-2023,5.0,1090,Clothng,,144.27
4,2023-01-17,3.0,1027,Clothing,,194.95
26,2023-11-02,5.0,1092,Electronics,4.0,-50.0
7,2023-11-02,5.0,1071,Grocery,,
51,2023-09-13,3.0,1050,Clothing,3.0,-50.0
27,invalid_date,1.0,1088,Clothing,,
56,23-09-2023,4.0,1098,Clothng,,-50.0
79,2023-07-06,2.0,1060,Grocery,,-50.0
70,2023-09-26,,1037,Grocery,5.0,
10,2023-07-30,,1021,Clothing,,-50.0
5,2023-12-13,1.0,1068,Electronics,,
35,2023-01-06,5.0,1029,Electronics,,390.32
54,2023-08-25,3.0,1080,Grocery,,253.85
73,16-06-2023,4.0,1085,electronics,,
41,2023-01-25,5.0,1084,,,
77,2023-12-01,2.0,1079,,8.0,301.73
47,2023-10-11,,1058,electronics,,
75,13-09-2023,1.0,1037,electronics,9.0,
16,2023-11-23,2.0,1058,Grocery,-3.0,-50.0
64,2023-07-16,2.0,1035,Electronics,0.0,-50.0
40,21-05-2023,5.0,1007,Clothng,0.0,307.42
71,2023-09-17,3.0,1080,electronics,7.0,-50.0
39,2023-11-18,,1059,Grocery,,180.77
50,2023-11-20,,1090,,-5.0,-50.0
66,2023-09-19,2.0,1021,,,370.47
60,06-07-2023,1.0,1042,Clothng,7.0,-50.0
22,30-10-2023,4.0,1023,Grocery,-1.0,-50.0
80,2023-12-29,2.0,1089,Clothing,-1.0,137.04
51,2023-08-22,,1095,Grocery,,110.02
76,2023-08-09,2.0,1049,Grocery,,
10,2023-10-01,4.0,1054,Electronics,7.0,12.19
43,2023-03-04,2.0,1050,Grocery,0.0,-50.0
26,03-07-2023,2.0,1058,Grocery,,
77,2023-08-31,4.0,1096,Grocery,-5.0,
45,2023-06-17,4.0,1016,Clothing,3.0,-50.0
23,2023-03-22,,1053,Grocery,2.0,-50.0
23,2023-09-30,1.0,1089,Electronics,1.0,
52,invalid_date,4.0,1057,Grocery,9.0,-50.0
15,18-04-2023,1.0,1058,Grocery,,370.56
64,02-12-2023,5.0,1086,Clothing,2.0,-50.0
51,2023-08-22,,1095,Grocery,,110.02
53,2023-09-17,,1087,Electronics,2.0,
37,2023-07-10,5.0,1000,Electronics,-1.0,-50.0
54,2023-08-21,5.0,1030,Grocery,0.0,159.37
8,2023-12-11,,1005,Clothing,,451.45
4,09-09-2023,4.0,1027,electronics,,
59,2023-04-10,5.0,1001,Electronics,2.0,
43,2023-07-14,2.0,1100,,8.0,-50.0
44,2023-12-27,3.0,1057,,-4.0,101.65
52,2023-12-26,4.0,1090,Clothing,3.0,
6,2023-10-03,5.0,1075,electronics,-5.0,
44,28-04-2023,4.0,1095,electronics,,127.41
54,2023-01-05,2.0,1003,Clothng,,
45,2023-01-06,4.0,1066,Grocery,5.0,-50.0
4,2023-11-28,2.0,1016,Electronics,,293.06
13,2023-05-21,2.0,1043,Electronics,-1.0,-50.0
80,2023-03-04,4.0,1008,Clothing,,264.41
2,2023-09-07,5.0,1087,Electronics,,369.97
66,invalid_date,1.0,1000,,0.0,
30,03-03-2023,5.0,1012,electronics,-5.0,
9,2023-03-04,5.0,1082,Electronics,-3.0,
2,2023-05-28,3.0,1089,Clothing,4.0,62.43
14,2023-04-19,2.0,1084,electronics,5.0,93.47
7,2023-01-28,,1011,Electronics,,
2,21-02-2023,3.0,1045,Electronics,,
31,2023-06-07,2.0,1073,Clothing,,
64,2023-06-15,4.0,1052,Grocery,-2.0,
40,2023-01-27,5.0,1020,,,-50.0
